column,fill_%,unique_vals,variance/entropy,usability_tier
study_name,100.0,3,1.387,HIGH
sample_id,100.0,707,9.466,HIGH
subject_id,100.0,516,8.756,HIGH
body_site,100.0,1,-0.0,UNUSABLE
antibiotics_current_use,11.5,1,-0.0,UNUSABLE
study_condition,100.0,4,1.379,HIGH
disease,100.0,4,1.379,HIGH
age,11.5,38,10.793,LOW
infant_age,21.9,5,32.105,LOW
age_category,100.0,3,0.947,HIGH
gender,100.0,2,0.928,HIGH
country,100.0,4,1.493,HIGH
non_westernized,100.0,1,-0.0,UNUSABLE
sequencing_platform,100.0,1,-0.0,UNUSABLE
DNA_extraction_kit,100.0,3,1.387,HIGH
PMID,100.0,3,267821.862,HIGH
number_reads,100.0,707,12319298.912,HIGH
number_bases,100.0,707,1199521569.621,HIGH
minimum_read_length,100.0,13,7.25,HIGH
median_read_length,100.0,5,7.97,HIGH
NCBI_accession,49.8,352,8.459,MODERATE
pregnant,38.3,2,0.622,MODERATE
lactating,0.0,0,,UNUSABLE
curator,100.0,3,1.387,HIGH
BMI,11.3,75,6.12,LOW
family,38.3,80,6.231,MODERATE
treatment,0.0,0,,UNUSABLE
days_from_first_collection,38.3,7,52.025,MODERATE
family_role,38.3,2,0.985,MODERATE
born_method,21.9,2,0.589,LOW
feeding_practice,21.4,2,0.997,LOW
location,11.5,4,1.915,LOW
diet,0.0,0,,UNUSABLE
travel_destination,0.0,0,,UNUSABLE
visit_number,0.0,0,,UNUSABLE
premature,0.0,0,,UNUSABLE
birth_weight,21.9,35,355.537,LOW
gestational_age,21.9,21,1.24,LOW
antibiotics_family,0.0,0,,UNUSABLE
disease_subtype,50.2,3,1.198,MODERATE
days_after_onset,0.0,0,,UNUSABLE
creatine,0.0,0,,UNUSABLE
albumine,0.0,0,,UNUSABLE
hscrp,0.0,0,,UNUSABLE
ESR,0.0,0,,UNUSABLE
ast,0.0,0,,UNUSABLE
alt,0.0,0,,UNUSABLE
globulin,0.0,0,,UNUSABLE
urea_nitrogen,0.0,0,,UNUSABLE
BASDAI,0.0,0,,UNUSABLE
BASFI,0.0,0,,UNUSABLE
alcohol,0.0,0,,UNUSABLE
flg_genotype,0.0,0,,UNUSABLE
population,50.2,1,-0.0,UNUSABLE
menopausal_status,0.0,0,,UNUSABLE
lifestyle,0.0,0,,UNUSABLE
body_subsite,0.0,0,,UNUSABLE
uncurated_metadata,0.0,0,,UNUSABLE
tnm,0.0,0,,UNUSABLE
triglycerides,0.0,0,,UNUSABLE
hdl,0.0,0,,UNUSABLE
ldl,0.0,0,,UNUSABLE
hba1c,0.0,0,,UNUSABLE
change_in_tumor_size,0.0,0,,UNUSABLE
RECIST,0.0,0,,UNUSABLE
ORR,0.0,0,,UNUSABLE
smoker,0.0,0,,UNUSABLE
ever_smoker,0.0,0,,UNUSABLE
dental_sample_type,0.0,0,,UNUSABLE
history_of_periodontitis,0.0,0,,UNUSABLE
PPD_M,0.0,0,,UNUSABLE
PPD_B,0.0,0,,UNUSABLE
PPD_D,0.0,0,,UNUSABLE
PPD_L,0.0,0,,UNUSABLE
fobt,11.5,2,0.664,LOW
disease_stage,0.0,0,,UNUSABLE
disease_location,0.0,0,,UNUSABLE
calprotectin,0.0,0,,UNUSABLE
HBI,0.0,0,,UNUSABLE
SCCAI,0.0,0,,UNUSABLE
mumps,0.0,0,,UNUSABLE
cholesterol,0.0,0,,UNUSABLE
c_peptide,0.0,0,,UNUSABLE
glucose,0.0,0,,UNUSABLE
creatinine,0.0,0,,UNUSABLE
bilubirin,0.0,0,,UNUSABLE
prothrombin_time,0.0,0,,UNUSABLE
wbc,0.0,0,,UNUSABLE
rbc,0.0,0,,UNUSABLE
hemoglobinometry,0.0,0,,UNUSABLE
FMT_role,0.0,0,,UNUSABLE
subcohort,0.0,0,,UNUSABLE
fmt_id,0.0,0,,UNUSABLE
remission,0.0,0,,UNUSABLE
dyastolic_p,0.0,0,,UNUSABLE
systolic_p,0.0,0,,UNUSABLE
insulin_cat,0.0,0,,UNUSABLE
adiponectin,0.0,0,,UNUSABLE
glp_1,0.0,0,,UNUSABLE
cd163,0.0,0,,UNUSABLE
il_1,0.0,0,,UNUSABLE
leptin,0.0,0,,UNUSABLE
fgf_19,0.0,0,,UNUSABLE
glutamate_decarboxylase_2_antibody,0.0,0,,UNUSABLE
HLA,0.0,0,,UNUSABLE
autoantibody_positive,0.0,0,,UNUSABLE
age_seroconversion,0.0,0,,UNUSABLE
age_T1D_diagnosis,0.0,0,,UNUSABLE
hitchip_probe_class,0.0,0,,UNUSABLE
previous_therapy,0.0,0,,UNUSABLE
performance_status,0.0,0,,UNUSABLE
toxicity_above_zero,0.0,0,,UNUSABLE
PFS12,0.0,0,,UNUSABLE
fasting_insulin,0.0,0,,UNUSABLE
fasting_glucose,0.0,0,,UNUSABLE
protein_intake,0.0,0,,UNUSABLE
stec_count,0.0,0,,UNUSABLE
shigatoxin_2_elisa,0.0,0,,UNUSABLE
stool_texture,0.0,0,,UNUSABLE
anti_PD_1,0.0,0,,UNUSABLE
ajcc,0.0,0,,UNUSABLE
smoke,0.0,0,,UNUSABLE
bristol_score,0.0,0,,UNUSABLE
hsCRP,0.0,0,,UNUSABLE
LDL,0.0,0,,UNUSABLE
mgs_richness,0.0,0,,UNUSABLE
ferm_milk_prod_consumer,0.0,0,,UNUSABLE
inr,0.0,0,,UNUSABLE
birth_control_pil,0.0,0,,UNUSABLE
c_section_type,0.0,0,,UNUSABLE
hla_drb12,0.0,0,,UNUSABLE
hla_dqa12,0.0,0,,UNUSABLE
hla_dqa11,0.0,0,,UNUSABLE
hla_drb11,0.0,0,,UNUSABLE
zigosity,0.0,0,,UNUSABLE
brinkman_index,0.0,0,,UNUSABLE
alcohol_numeric,0.0,0,,UNUSABLE
breastfeeding_duration,19.2,29,138.15,LOW
formula_first_day,21.5,22,90.325,LOW
ALT,0.0,0,,UNUSABLE
eGFR,0.0,0,,UNUSABLE
